seller_sku,fulfillment_channel_sku,asin,condition_type,warehouse_condition_code,quantity_available,snapshot_date,country_code,customer,created_at,updated_at
IBU_CTLM_12G1F,B0FNBYKPZT,B0FNBYKPZT,NewItem,SELLABLE,3007,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_CTMP_12G1F,B0FNBN38V4,B0FNBN38V4,NewItem,SELLABLE,8560,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_CTMP_12G1F,B0FNBN38V4,B0FNBN38V4,NewItem,UNSELLABLE,1,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_CTBL_12G2,B0GL11MTZM,B0GL11MTZM,NewItem,SELLABLE,2901,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_CBUF_09C1,B0GRD8WBR9,B0GRD8WBR9,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_MGRB_06G1,B0GQZ8FRX8,B0GQZ8FRX8,NewItem,SELLABLE,46,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_CTLM_12G1S,X004UGM9B9,B0FRRYYHV2,NewItem,SELLABLE,28,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_CTLM_12G1S,X004UGM9B9,B0FRRYYHV2,NewItem,UNSELLABLE,1,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_MGPA_06G2TF,X00515EZSX,B0DKT37XQ2,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBX_VBUF_90C1,B0GKSVSK3P,B0GKSVSK3P,NewItem,SELLABLE,1337,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBV_BEUF_06G1S,X00516IQX7,B0DQNLCYJ7,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBG_INUF_12C1F,B0FYFBZ7W5,B0FYFBZ7W5,NewItem,SELLABLE,1892,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_MGOG_06S1F,X00515F20X,B0F3HGRMTM,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBV_VCUF_15G1F,X0051KMY8L,B0DQP4TF9T,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_BBUF_06C1T,X0051IE0KD,B0GQZ6FCJB,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_MCUF_90C1,B0G26383JK,B0G26383JK,NewItem,SELLABLE,6922,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBX_MOUF_06C1TR,X004WAH9C7,B0FYFK76DM,NewItem,SELLABLE,986,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_BBUF_06C1S,X004XQR7WR,B0G4TWDB2Q,NewItem,SELLABLE,1,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_MGMB_06G1F,B0DKT3PXRP,B0DKT3PXRP,NewItem,SELLABLE,1,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBX_BIMB_06G1S,X004ZMMP3F,B0GJSJ624L,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBX_CTBB_12G1ZF,X00515HN1T,B0F7R9Y34M,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_CTUF_50P1,B0GRBZT5HR,B0GRBZT5HR,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBX_CZST_06G1T_F,X0051WELCB,B0F6L6MGBX,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBU_NMUF_60C1,B0G6L2NQP4,B0G6L2NQP4,NewItem,SELLABLE,223,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
IBM_MGGP_06S1F,X00515FM21,B0F3J2ZYCJ,NewItem,SELLABLE,0,2026-04-16,US,innerbrightness,2026-04-16 12:56:18.245519,2026-04-16 12:56:18.245519
