id,parentasin,childasin,salesbyasin_unitsordered,salesbyasin_unitsorderedb2b,salesbyasin_orderedproductsales_amount,salesbyasin_orderedproductsales_currencycode,salesbyasin_orderedproductsalesb2b_amount,salesbyasin_orderedproductsalesb2b_currencycode,salesbyasin_totalorderitems,salesbyasin_totalorderitemsb2b,trafficbyasin_browsersessions,trafficbyasin_browsersessionsb2b,trafficbyasin_mobileappsessions,trafficbyasin_mobileappsessionsb2b,trafficbyasin_sessions,trafficbyasin_sessionsb2b,trafficbyasin_browsersessionpercentage,trafficbyasin_browsersessionpercentageb2b,trafficbyasin_mobileappsessionpercentage,trafficbyasin_mobileappsessionpercentageb2b,trafficbyasin_sessionpercentage,trafficbyasin_sessionpercentageb2b,trafficbyasin_browserpageviews,trafficbyasin_browserpageviewsb2b,trafficbyasin_mobileapppageviews,trafficbyasin_mobileapppageviewsb2b,trafficbyasin_pageviews,trafficbyasin_pageviewsb2b,trafficbyasin_browserpageviewspercentage,trafficbyasin_browserpageviewspercentageb2b,trafficbyasin_mobileapppageviewspercentage,trafficbyasin_mobileapppageviewspercentageb2b,trafficbyasin_pageviewspercentage,trafficbyasin_pageviewspercentageb2b,trafficbyasin_buyboxpercentage,trafficbyasin_buyboxpercentageb2b,trafficbyasin_unitsessionpercentage,trafficbyasin_unitsessionpercentageb2b,report_date,country_code,customer,created_at,updated_at
1387,B0GBNWRHVX,B0GBNWRHVX,0,0,0.0000,USD,0.0000,USD,0,0,1,0,2,0,3,0,0.2700,0.0000,0.1500,0.0000,0.1800,0.0000,1,0,2,0,3,0,0.2000,0.0000,0.1200,0.0000,0.1400,0.0000,66.6700,0.0000,0.0000,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1388,B0GS61KH2Y,B0G26383JK,15,0,359.8500,USD,0.0000,USD,15,0,19,1,74,1,93,2,5.1100,7.1400,5.7100,3.8500,5.5800,5.0000,34,1,91,1,125,2,6.7100,4.3500,5.4200,3.3300,5.7200,3.7700,100.0000,0.0000,16.1300,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1389,B0GSRJTLWY,B0FNBYKPZT,29,0,869.7100,USD,0.0000,USD,27,0,26,3,101,1,127,4,6.9900,21.4300,7.8000,3.8500,7.6200,10.0000,38,5,133,1,171,6,7.5000,21.7400,7.9300,3.3300,7.8300,11.3200,100.0000,100.0000,22.8300,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1390,B0GSHWM86S,B0GKSVSK3P,10,0,229.9000,USD,0.0000,USD,10,0,26,1,56,1,82,2,6.9900,7.1400,4.3200,3.8500,4.9200,5.0000,41,1,79,1,120,2,8.0900,4.3500,4.7100,3.3300,5.4900,3.7700,96.3300,0.0000,12.2000,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1391,B0GSRJTLWY,B0FNBN38V4,96,1,2879.0400,USD,29.9900,USD,89,1,96,3,270,6,366,9,25.8100,21.4300,20.8500,23.0800,21.9600,22.5000,120,3,344,8,464,11,23.6700,13.0400,20.5000,26.6700,21.2400,20.7500,99.7700,83.3300,26.2300,11.1100,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1392,B0GGRSXJDL,B0G6L2NQP4,0,0,0.0000,USD,0.0000,USD,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1393,B0GSRJTLWY,B0GJ66LHGM,13,0,389.8700,USD,0.0000,USD,12,0,14,0,68,2,82,2,3.7600,0.0000,5.2500,7.6900,4.9200,5.0000,15,0,71,2,86,2,2.9600,0.0000,4.2300,6.6700,3.9400,3.7700,100.0000,100.0000,15.8500,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1394,B0GTB8S1VY,B0G25Y3DVZ,34,1,747.6600,USD,21.9900,USD,33,1,33,2,106,3,139,5,8.8700,14.2900,8.1900,11.5400,8.3400,12.5000,48,2,144,3,192,5,9.4700,8.7000,8.5800,10.0000,8.7900,9.4300,100.0000,100.0000,24.4600,20.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1395,B0GS5J5TRR,B0GJBFKQZC,2,0,47.9800,USD,0.0000,USD,2,0,5,0,9,0,14,0,1.3400,0.0000,0.6900,0.0000,0.8400,0.0000,6,0,9,0,15,0,1.1800,0.0000,0.5400,0.0000,0.6900,0.0000,100.0000,0.0000,14.2900,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1396,B0GS61KH2Y,B0DKT3PXRP,177,0,3538.2300,USD,0.0000,USD,168,0,111,1,474,7,585,8,29.8400,7.1400,36.6000,26.9200,35.0900,20.0000,145,4,621,9,766,13,28.6000,17.3900,37.0100,30.0000,35.0600,24.5300,99.4500,100.0000,30.2600,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1397,B0GSRRVKB4,B0FYFK76DM,1,0,20.9900,USD,0.0000,USD,1,0,1,0,4,0,5,0,0.2700,0.0000,0.3100,0.0000,0.3000,0.0000,2,0,10,0,12,0,0.3900,0.0000,0.6000,0.0000,0.5500,0.0000,100.0000,0.0000,20.0000,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1398,B0GVBPLXSW,B0FYFBZ7W5,17,0,384.0300,USD,0.0000,USD,17,0,21,3,49,2,70,5,5.6500,21.4300,3.7800,7.6900,4.2000,12.5000,36,7,74,2,110,9,7.1000,30.4300,4.4100,6.6700,5.0300,16.9800,98.9500,100.0000,24.2900,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1399,B0GS61KH2Y,B0DN5QQLB6,37,0,998.6300,USD,0.0000,USD,37,0,19,0,82,3,101,3,5.1100,0.0000,6.3300,11.5400,6.0600,7.5000,21,0,100,3,121,3,4.1400,0.0000,5.9600,10.0000,5.5400,5.6600,99.1200,0.0000,36.6300,0.0000,2026-04-05 00:00:00,US,innerbrightness,2026-04-20 00:22:26.340719,2026-04-20 00:22:26.340719
1441,B0GBNWRHVX,B0GBNWRHVX,0,0,0.0000,USD,0.0000,USD,0,0,0,0,2,0,2,0,0.0000,0.0000,0.1400,0.0000,0.1100,0.0000,0,0,2,0,2,0,0.0000,0.0000,0.1100,0.0000,0.0800,0.0000,50.0000,0.0000,0.0000,0.0000,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
1442,B0GS61KH2Y,B0G26383JK,23,1,551.7700,USD,23.9900,USD,23,1,26,1,91,2,117,3,5.5700,7.1400,6.5500,6.6700,6.3000,6.8200,39,1,114,2,153,3,6.4600,6.6700,6.4000,5.0000,6.4100,5.4500,100.0000,100.0000,19.6600,33.3300,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
