id,created_at,updated_at,date,new_to_brand_sales_clicks,viewability_rate,purchases_clicks,detail_page_views,new_to_brand_sales_percentage,units_sold,sales,qualified_borrows_from_clicks,campaign_rule_based_budget_amount,kindle_edition_normalized_pages_royalties14d,brand_store_page_view,add_to_list_from_clicks,cost_type,campaign_status,view_click_through_rate,campaign_budget_amount,royalty_qualified_borrows_from_clicks,purchases_promoted,new_to_brand_detail_page_view_rate,purchases,campaign_id,new_to_brand_purchases_percentage,kindle_edition_normalized_pages_read14d,qualified_borrows,long_term_roas,sales_promoted,campaign_budget_currency_code,video_complete_views,sales_clicks,video_first_quartile_views,new_to_brand_purchases_rate,units_sold_clicks,branded_searches,video5_second_views,top_of_search_impression_share,royalty_qualified_borrows,new_to_brand_ecp_detail_page_view,new_to_brand_purchases,long_term_sales,branded_searches_clicks,add_to_list,new_to_brand_sales,new_to_brand_purchases_clicks,campaign_budget_type,add_to_cart_clicks,video_unmutes,add_to_cart,video_third_quartile_views,add_to_cart_rate,cost,new_to_brand_detail_page_views_clicks,impressions,new_to_brand_units_sold,viewable_impressions,detail_page_views_clicks,e_cp_add_to_cart,new_to_brand_detail_page_views,clicks,video_midpoint_views,video5_second_view_rate,new_to_brand_units_sold_clicks,new_to_brand_units_sold_percentage,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
9043,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-09,0.0,45.89,0,4,0.0,0,0.0,0,,0,0,0,CPC,ENABLED,2.99,300.0,0,0,136.986301369863,0,107283922414881,0.0,0,0,0.14857142857142858,0.0,USD,0,0.0,0,0.0,0,0,0,1.33,0,3.5,0,1.04,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,7.0,2,146,0,67,4,0.0,2,2,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9044,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-10,27.99,57.83,1,9,100.0,1,27.99,0,,0,0,0,CPC,ENABLED,3.47,300.0,0,1,120.48192771084338,1,107283922414881,100.0,0,0,2.137037037037037,27.99,USD,0,27.99,0,20.0,1,0,0,3.56,0,7.2,1,46.16,0,0,27.99,1,DAILY_BUDGET,1,0,1,0,40.16064257028112,21.6,3,249,1,144,9,21.6,3,5,0,0.0,1,100.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9045,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-11,55.98,52.51,3,67,69.15,3,80.96,0,,0,0,0,CPC,ENABLED,5.8,300.0,0,3,224.01433691756273,3,107283922414881,66.67,0,0,1.0239488680117048,80.96,USD,0,80.96,0,5.88,3,0,0,11.1,0,5.19,2,132.97,0,0,55.98,2,DAILY_BUDGET,4,0,4,0,35.842293906810035,129.86,25,1116,2,586,67,32.47,25,34,0,0.0,2,66.67,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9046,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-12,127.95,43.73,7,79,77.58,7,164.93,0,,0,0,5,CPC,ENABLED,4.12,300.0,0,7,158.81418740074113,7,107283922414881,71.43,0,0,2.0795842382873104,164.93,USD,0,164.93,0,14.71,7,7,0,13.39,0,4.3,5,268.1,7,5,127.95,5,DAILY_BUDGET,14,0,14,0,74.11328745367919,128.92,30,1889,5,826,79,9.21,30,34,0,0.0,5,71.43,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9047,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-13,229.63,39.08,14,53,90.19,14,254.61,0,,0,0,0,CPC,ENABLED,6.96,300.0,0,14,217.56021756021755,14,107283922414881,92.86,0,0,3.7388612915552164,254.61,USD,0,254.61,0,37.14,14,0,0,7.35,0,4.67,13,489.23,0,0,229.63,13,DAILY_BUDGET,15,0,15,0,116.55011655011656,130.85,28,1287,13,503,53,8.72,28,35,0,0.0,13,92.86,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9048,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-14,271.39,69.89,18,120,90.65,18,299.37,0,,0,0,3,CPC,ENABLED,6.71,300.0,0,18,358.97435897435895,18,107283922414881,88.89,0,0,2.866688580015026,299.37,USD,0,299.37,0,25.0,18,5,0,15.56,0,4.35,16,610.49,5,3,271.39,16,DAILY_BUDGET,27,0,27,0,197.80219780219778,212.96,49,1365,16,954,120,7.89,49,64,0,0.0,16,88.89,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9049,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-15,620.93,78.42,35,215,91.33,39,679.89,0,,0,0,2,CPC,ENABLED,7.34,300.0,0,35,475.1257685858022,35,107283922414881,91.43,0,0,3.64897728875723,679.89,USD,0,679.89,0,31.07,39,1,0,25.93,0,4.17,32,1293.38,1,2,620.93,32,DAILY_BUDGET,46,0,46,0,257.126886528787,354.45,85,1789,36,1403,215,7.71,85,103,0,0.0,36,92.31,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9050,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-16,393.71,63.54,25,183,78.83,26,499.42,0,,0,0,3,CPC,ENABLED,10.63,300.0,0,25,531.5822388993121,25,107283922414881,80.0,0,0,2.481958491361146,499.42,USD,0,499.42,0,18.52,26,0,0,16.6,0,4.47,20,942.35,0,3,393.71,20,DAILY_BUDGET,38,0,38,0,237.64853033145718,379.68,85,1599,21,1016,183,9.99,85,108,0,0.0,21,80.77,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9051,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-17,325.36,56.69,21,204,94.21,21,345.35,0,,0,0,3,CPC,ENABLED,9.23,300.0,0,21,469.13580246913585,21,107283922414881,95.24,0,0,2.192248439147004,345.35,USD,0,345.35,0,18.87,21,0,0,20.62,0,3.89,20,811.11,0,3,325.36,20,DAILY_BUDGET,40,0,40,0,197.53086419753086,369.99,95,2025,20,1148,204,9.25,95,106,0,0.0,20,95.24,Inner-SB-Collection-gumm-magnesium-CPC-1,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
9055,2026-04-21 01:59:13.293168,2026-04-21 01:59:13.293168,2026-04-14,29.99,50.62,1,2,100.0,1,29.99,0,,0,0,0,CPC,ENABLED,4.88,200.0,0,1,246.91358024691357,1,8630109811607,100.0,0,0,5.9925,29.99,USD,0,29.99,0,50.0,1,0,0,0.4,0,4.0,1,47.94,0,0,29.99,1,DAILY_BUDGET,1,0,1,0,123.45679012345678,8.0,2,81,1,41,2,8.0,2,2,0,0.0,1,100.0,Inner-SB-Collection-Creatine Gummies-CPC,sbCampaigns,US,INNERBRIGHTNESS,sbCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:13
