id,created_at,updated_at,date,viewability_rate,keyword_id,purchases_clicks,video5_second_views,match_type,units_sold,royalty_qualified_borrows,qualified_borrows_from_clicks,ad_group_id,sales,keyword_bid,add_to_list,kindle_edition_normalized_pages_royalties14d,search_term,add_to_list_from_clicks,cost_type,campaign_budget_type,campaign_status,video_unmutes,keyword_type,view_click_through_rate,video_third_quartile_views,campaign_budget_amount,royalty_qualified_borrows_from_clicks,cost,purchases,ad_group_name,campaign_id,impressions,kindle_edition_normalized_pages_read14d,qualified_borrows,viewable_impressions,keyword_text,campaign_budget_currency_code,video_complete_views,clicks,video_midpoint_views,video5_second_view_rate,campaign_name,video_first_quartile_views,sales_clicks,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
8614,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-09,43.93,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,4.26,0,300.0,0,7.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,107,0,0,47,magnesium glycinate gummies,USD,0,2,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8615,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-10,58.43,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,0.96,0,300.0,0,4.8,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,178,0,0,104,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8616,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-10,53.45,214558527883028,1,0,EXACT,1,0,0,451520502515809,27.99,3.5,0,0,magnesium gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,12.9,0,300.0,0,16.8,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,58,0,0,31,magnesium gummies,USD,0,4,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,27.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8617,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-11,100.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,bisglycinate magnesium gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,50.0,0,300.0,0,4.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,2,0,0,2,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8618,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-13,100.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,bisglycinate magnesium gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,100.0,0,300.0,0,3.84,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8619,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-12,100.0,214558527883028,1,0,EXACT,1,0,0,451520502515809,27.99,3.5,0,0,chewable gummy magnesium,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,100.0,0,300.0,0,4.0,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,magnesium gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,27.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8620,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-12,100.0,214558527883028,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,chewable magnesium,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,20.0,0,300.0,0,4.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,5,0,0,5,magnesium gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8621,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-16,100.0,214558527883028,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,chewable magnesium,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,100.0,0,300.0,0,3.5,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,magnesium gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8622,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-17,100.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,chewable magnesium glycinate,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,16.67,0,300.0,0,3.5,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,6,0,0,6,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8626,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-14,52.08,173259629358227,1,0,EXACT,1,0,0,312377790335108,29.99,4.0,0,0,creatine gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,8.0,0,200.0,0,8.0,1,Inner-SB-Collection-Creatine Gummies-CPC,8630109811607,48,0,0,25,creatine gummies,USD,0,2,0,0.0,Inner-SB-Collection-Creatine Gummies-CPC,0,29.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
