id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,attributed_sales_same_sku14d,sales7d,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,advertised_sku,sales_other_sku7d,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,ad_group_name,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,acos_clicks14d,units_sold_clicks30d,qualified_borrows,portfolio_id,ad_id,campaign_budget_currency_code,roas_clicks7d,units_sold_same_sku14d,units_sold_clicks7d,attributed_sales_same_sku7d,royalty_qualified_borrows,sales1d,ad_group_id,add_to_list,purchases_same_sku14d,units_sold_other_sku7d,spend,purchases_same_sku1d,campaign_budget_type,advertised_asin,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,acos_clicks7d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
34533,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-04,209.93,1.5415060395785143,8,239.92,269.91,260.07,0,7,ENABLED,IBU_CTMP_12G1F,59.98,7,700.0,9,9,3.4131578947368424,10,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,1.1604234527687296,0,64.87162387462489,12,0,197748004457307.0,299979392074112,USD,1.3873554356206632,8,9,209.93,0,239.92,425782617077083,0,8,2,194.55,7,DAILY_BUDGET,B0FNBN38V4,8,7,194.55,Amazon,299.9,72.07958208291653,348.84,4912,9,10,12,57,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34534,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-05,239.92,2.3624094107761793,14,269.91,449.85,290.06,0,8,ENABLED,IBU_CTMP_12G1F,179.94,9,700.0,15,10,3.5262962962962963,15,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,1.0119940029985006,0,42.3296654440369,16,0,197748004457307.0,299979392074112,USD,2.3624094107761793,9,15,269.91,0,419.86,425782617077083,0,9,6,190.42,8,DAILY_BUDGET,B0FNBN38V4,14,9,190.42,Amazon,449.85,42.3296654440369,470.0,5336,10,15,16,54,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34535,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-06,149.95,1.2373813780772935,5,179.94,149.95,179.94,0,5,ENABLED,IBU_CTMP_12G1F,0.0,5,700.0,5,6,3.462380952380952,6,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,0.7622504537205083,0,80.8158274980549,6,0,197748004457307.0,299979392074112,USD,1.0311511483977445,6,5,149.95,0,149.95,425782617077083,0,6,0,145.42,5,DAILY_BUDGET,B0FNBN38V4,5,5,145.42,Amazon,179.94,96.9789929976659,179.94,5510,6,6,6,42,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34536,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-07,179.94,1.1500493042620796,6,179.94,209.93,179.94,0,6,ENABLED,IBU_CTMP_12G1F,29.99,6,700.0,7,6,3.6508,7,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,1.064282673478076,0,86.95279378840566,7,0,197748004457307.0,299979392074112,USD,1.1500493042620796,6,7,179.94,0,179.94,425782617077083,0,6,1,182.54,6,DAILY_BUDGET,B0FNBN38V4,6,6,182.54,Amazon,209.93,86.95279378840566,209.93,4698,6,7,7,50,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34537,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-08,239.92,1.870575393731483,12,239.92,359.88,239.92,0,8,ENABLED,IBU_CTMP_12G1F,119.96,8,700.0,12,8,3.5627777777777774,12,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,1.1954837281381447,0,53.459486495498496,12,0,197748004457307.0,299979392074112,USD,1.870575393731483,8,12,239.92,0,359.88,425782617077083,0,8,4,192.39,8,DAILY_BUDGET,B0FNBN38V4,12,8,192.39,Amazon,359.88,53.459486495498496,359.88,4517,8,12,12,54,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34538,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-09,299.9,2.1254429482636428,10,359.88,359.88,359.88,0,10,ENABLED,IBU_CTMP_12G1F,0.0,12,700.0,12,12,3.3864,12,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,0.8118201006656925,0,47.049016338779595,12,0,197748004457307.0,299979392074112,USD,2.1254429482636428,12,12,359.88,0,299.9,425782617077083,0,12,0,169.32,10,DAILY_BUDGET,B0FNBN38V4,10,12,169.32,Amazon,359.88,47.049016338779595,359.88,6159,12,12,12,50,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34539,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-10,149.95,1.515411824153613,7,179.94,239.92,179.94,0,5,ENABLED,IBU_CTMP_12G1F,59.98,6,700.0,8,6,3.518222222222222,8,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,0.5558300395256917,0,65.98866288762922,8,0,197748004457307.0,299979392074112,USD,1.515411824153613,6,8,179.94,0,209.93,425782617077083,0,6,2,158.32,5,DAILY_BUDGET,B0FNBN38V4,7,6,158.32,Amazon,239.92,65.98866288762922,239.92,8096,6,8,8,45,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34554,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-04,539.82,1.2149399372952407,22,569.81,689.77,569.81,0,18,ENABLED,IBU_CTMP_12G1F,119.96,19,1000.0,23,19,4.770924369747899,23,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,1.7456359102244388,0,82.30859561882947,23,0,197748004457307.0,480030069992580,USD,1.2149399372952407,19,23,569.81,0,659.78,439851151117545,0,19,4,567.74,18,DAILY_BUDGET,B0FNBN38V4,22,19,567.74,Amazon,689.77,82.30859561882947,689.77,6817,19,23,23,119,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34555,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-05,599.8,1.5355280374717917,26,629.79,779.74,629.79,0,20,ENABLED,IBU_CTMP_12G1F,179.94,20,1000.0,26,21,4.708303571428572,27,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,1.4713610089332634,0,65.12417719486743,27,0,197748004457307.0,480030069992580,USD,1.4786566286765401,21,26,599.8,0,779.74,439851151117545,0,21,6,527.33,20,DAILY_BUDGET,B0FNBN38V4,26,20,527.33,Amazon,809.73,67.62895324082386,809.73,7612,21,27,27,112,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34556,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-06,749.75,1.6071237183380371,28,779.74,869.71,779.74,0,25,ENABLED,IBU_CTMP_12G1F,119.96,25,1000.0,29,26,4.5513821138211386,30,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,1.3645440426003994,0,62.222963209958884,30,0,197748004457307.0,480030069992580,USD,1.5535529277267692,26,29,749.75,0,839.72,439851151117545,0,26,4,559.82,25,DAILY_BUDGET,B0FNBN38V4,28,25,559.82,Amazon,899.7,64.36858263099194,899.7,9014,26,30,30,123,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
