id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,placement_classification,attributed_sales_same_sku14d,sales7d,campaign_rule_based_budget_amount,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,campaign_applicable_budget_rule_name,acos_clicks14d,units_sold_clicks30d,qualified_borrows,campaign_budget_currency_code,campaign_applicable_budget_rule_id,units_sold_same_sku14d,units_sold_clicks7d,campaign_bidding_strategy,attributed_sales_same_sku7d,top_of_search_impression_share,royalty_qualified_borrows,sales1d,add_to_list,purchases_same_sku14d,spend,purchases_same_sku1d,campaign_budget_type,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
83009,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-04,0.0,0.0,0,Detail Page on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.7,0,158485660571374,0.1832340815391663,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,6.79,0,DAILY_BUDGET,0,0,6.79,Amazon,0.0,0.0,2183,0,0,0,4,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83010,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-05,0.0,0.0,0,Detail Page on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.69,0,158485660571374,0.14992503748125938,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,5.08,0,DAILY_BUDGET,0,0,5.08,Amazon,0.0,0.0,2001,0,0,0,3,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83011,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-06,0.0,0.0,0,Detail Page on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.7,0,158485660571374,0.3602882305844676,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,15.27,0,DAILY_BUDGET,0,0,15.27,Amazon,0.0,0.0,2498,0,0,0,9,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83012,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-07,0.0,0.0,0,Detail Page on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.7,0,158485660571374,0.43103448275862066,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,5.1,0,DAILY_BUDGET,0,0,5.1,Amazon,0.0,0.0,696,0,0,0,3,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83013,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-08,0.0,0.0,0,Detail Page on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.7,0,158485660571374,0.2066115702479339,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,3.4,0,DAILY_BUDGET,0,0,3.4,Amazon,0.0,0.0,968,0,0,0,2,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83014,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-09,73.47,2.2003593890386344,3,Detail Page on-Amazon,73.47,73.47,,73.47,0,3,ENABLED,3,300.0,3,3,1.76,3,158485660571374,0.39815590947191953,0,,45.44712127398938,3,0,USD,,3,3,manual,73.47,,0,73.47,0,3,33.39,3,DAILY_BUDGET,3,3,33.39,Amazon,73.47,73.47,4772,3,3,3,19,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83015,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-10,0.0,0.0,0,Detail Page on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.65,0,158485660571374,0.3179650238473768,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,19.81,0,DAILY_BUDGET,0,0,19.81,Amazon,0.0,0.0,3774,0,0,0,12,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83031,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-04,0.0,nan,0,Other on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,0.0,0,158485660571374,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,16,0,0,0,0,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83032,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-05,0.0,0.0,0,Other on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,1.7,0,158485660571374,2.272727272727273,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,1.7,0,DAILY_BUDGET,0,0,1.7,Amazon,0.0,0.0,44,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
83033,2026-04-21 01:59:24.822405,2026-04-21 01:59:24.822405,2026-04-06,0.0,nan,0,Other on-Amazon,0.0,0.0,,0.0,0,0,ENABLED,0,300.0,0,0,0.0,0,158485660571374,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,22,0,0,0,0,Inner-SP-KW-Berberine Capsules-EM-berberine supplement-2k,spCampaign_placement,US,INNERBRIGHTNESS,spCampaign_placement_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:24
