id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,match_type,attributed_sales_same_sku14d,units_sold_other_sku14d,sales7d,sales_other_sku14d,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,search_term,units_sold_same_sku1d,campaign_status,keyword,sales_other_sku7d,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,ad_group_name,campaign_id,click_through_rate,purchase_click_rate14d,kindle_edition_normalized_pages_read14d,acos_clicks14d,units_sold_clicks30d,qualified_borrows,portfolio_id,campaign_budget_currency_code,roas_clicks7d,units_sold_same_sku14d,units_sold_clicks7d,keyword_id,attributed_sales_same_sku7d,royalty_qualified_borrows,sales1d,ad_group_id,add_to_list,keyword_bid,targeting,purchases_same_sku14d,units_sold_other_sku7d,spend,purchases_same_sku1d,campaign_budget_type,keyword_type,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,acos_clicks7d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
216780,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-10,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,#1 creatine sold,0,ENABLED,creatine,0.0,0,100.0,0,0,4.25,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,100.0,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,4.25,0,DAILY_BUDGET,BROAD,0,0,4.25,Amazon,0.0,nan,0.0,1,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216786,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-10,0.0,0.0,0,TARGETING_EXPRESSION_PREDEFINED,0.0,0,0.0,0.0,0.0,0,- magnesium glycinate,0,ENABLED,close-match,0.0,0,1300.0,0,0,2.76,0,Inner-SP-Auto-gumm-magnesium-CPC-Low bid,558606714617685,14.285714285714285,0.0,0,nan,0,0,269179459475581.0,USD,0.0,0,0,551282443934041,0.0,0,0.0,285469202359062,0,1.0,close-match,0,0,2.76,0,DAILY_BUDGET,TARGETING_EXPRESSION_PREDEFINED,0,0,2.76,Amazon,0.0,nan,0.0,7,0,0,0,1,Inner-SP-Auto-gumm-magnesium-CPC-Low bid,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216788,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-06,0.0,0.0,0,PHRASE,0.0,0,0.0,0.0,0.0,0,.magnesium glycinate with theolan,0,ENABLED,magnesium glycinate,0.0,0,1.0,0,0,2.5,0,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,399896724869227,100.0,0.0,0,nan,0,0,269179459475581.0,USD,0.0,0,0,369202946261989,0.0,0,0.0,423666555472075,0,1.0,magnesium glycinate,0,0,2.5,0,DAILY_BUDGET,PHRASE,0,0,2.5,Amazon,0.0,nan,0.0,1,0,0,0,1,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216794,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-10,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,10 gm capsule of creatine,0,ENABLED,creatine,0.0,0,100.0,0,0,2.38,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,33.33333333333333,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,2.38,0,DAILY_BUDGET,BROAD,0,0,2.38,Amazon,0.0,nan,0.0,3,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216796,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-09,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,100% creatine pure,0,ENABLED,creatine,0.0,0,100.0,0,0,2.72,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,100.0,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,2.72,0,DAILY_BUDGET,BROAD,0,0,2.72,Amazon,0.0,nan,0.0,1,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216798,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-06,0.0,0.0,0,PHRASE,0.0,0,0.0,0.0,0.0,0,100% magnesium glycinate,0,ENABLED,magnesium glycinate,0.0,0,1.0,0,0,3.24,0,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,399896724869227,16.666666666666664,0.0,0,nan,0,0,269179459475581.0,USD,0.0,0,0,369202946261989,0.0,0,0.0,423666555472075,0,1.0,magnesium glycinate,0,0,3.24,0,DAILY_BUDGET,PHRASE,0,0,3.24,Amazon,0.0,nan,0.0,6,0,0,0,1,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216800,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-08,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,1000 mg dihydroberberine,0,ENABLED,berberine supplement,0.0,0,1.0,0,0,2.7,0,Inner-SP-KW-Berberine Capsules-PM-Berberine,492405995934092,100.0,0.0,0,nan,0,0,189812334889736.0,USD,0.0,0,0,432790521304689,0.0,0,0.0,554794794836811,0,1.2,berberine supplement,0,0,2.7,0,DAILY_BUDGET,BROAD,0,0,2.7,Amazon,0.0,nan,0.0,1,0,0,0,1,Inner-SP-KW-Berberine Capsules-PM-Berberine Supplement-2k,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216801,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-06,0.0,0.0,0,PHRASE,0.0,0,0.0,0.0,0.0,0,1000mg magnesium glycinate,0,ENABLED,magnesium glycinate,0.0,0,1.0,0,0,3.5,0,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,399896724869227,20.0,0.0,0,nan,0,0,269179459475581.0,USD,0.0,0,0,369202946261989,0.0,0,0.0,423666555472075,0,1.0,magnesium glycinate,0,0,3.5,0,DAILY_BUDGET,PHRASE,0,0,3.5,Amazon,0.0,nan,0.0,5,0,0,0,1,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216802,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-10,0.0,0.0,0,PHRASE,0.0,0,0.0,0.0,0.0,0,1000mg magnesium glycinate,0,ENABLED,magnesium glycinate,0.0,0,1.0,0,0,3.14,0,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,399896724869227,33.33333333333333,0.0,0,nan,0,0,269179459475581.0,USD,0.0,0,0,369202946261989,0.0,0,0.0,423666555472075,0,1.0,magnesium glycinate,0,0,3.14,0,DAILY_BUDGET,PHRASE,0,0,3.14,Amazon,0.0,nan,0.0,3,0,0,0,1,Inner-SP-KW-gumm-magnesium glaycinate-PM-CPC-56,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
216809,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-09,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,120 count creatine gummies,0,ENABLED,creatine,0.0,0,100.0,0,0,2.72,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,33.33333333333333,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,2.72,0,DAILY_BUDGET,BROAD,0,0,2.72,Amazon,0.0,nan,0.0,3,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
